No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,HV
M-131,151.225,0.054770209,4.5,0,2.75,1.4325,0.0859766,4.125,7.09,6.941875,2663,40.125,25.275,1.75,1.75,-1.386294361,142.5,43,0.355,206.5,110,39.5,0.297460266,0.392603326,133.3333333,32.44465531,4.92655933,3.313953488,364
M-132,152.225,0.048785882,4.25,0,2.5,1.4425,0.089904418,4.145,6.2775,6.7615,2328.75,37.425,25.2,1.5,1.5,-1.386294361,122.25,42.75,0.335,189.25,91.25,35.25,0.25095116,0.388393916,128.5714286,28.34197467,5.07162588,2.859649123,242
M-133,140.635516,0.021612571,5.36656,0,3.73326,1.8369636,0.207707589,4.378246,8.1213362,7.37576385,3220.15192,36.42593,24.732838,-6.713065336,6.713065336,-1.242193919,225.89552,78.71514,0.3601594,342.79328,167.49664,75.91518,0.249315481,0.667320404,246.0460934,26.54537644,7.043701734,2.869784898,569
M-134,140.180258,0.022602307,5.43328,0,3.86663,1.8709818,0.200043738,4.401623,7.9844181,7.345994425,3185.95096,35.612965,24.666419,-6.686531334,6.686531334,-1.356526922,229.69776,83.48257,0.3538297,356.39664,166.49832,79.08259,0.236888319,0.618018955,258.3918512,29.24730965,7.272388215,2.751445721,784
M-135,147.93974,0.059717089,4.44104,0,2.76462,1.5220122,0.105384438,4.2439898,6.1601112,6.751150069,2282.7253,34.598985,24.993369,0.034622629,1.349388444,-1.397714266,135.5545,40.11639,0.3576362,206.75803,102.96736,30.70493,0.306744374,0.542858547,124.9023995,26.56284735,5.843135919,3.379030366,314
M-136,139.725,0.023104619,5.5,0,4,1.905,0.190916694,4.425,7.8475,7.316225,3151.75,34.8,24.6,-6.5,6.5,-1.386294361,233.5,88.25,0.3475,370,165.5,82.25,0.223386762,0.568742303,270.4980843,29.82815617,7.507228766,2.645892351,779
M-137,127.5572,0.040123394,7.764,0.091,5.902,1.79907,0.061245149,4.73653,4.21516,7.3977924,1773.145043,27.7723,24.766,-8.214676,8.214676,-1.564504693,177.349,117.046,0.3265,322.724,145.794,99.614,0.362815582,0.448967938,347.5753526,14.85052641,11.291763,1.515207696,128
M-138,147.28009,0.061047806,4.5275,0,2.8888,1.557405,0.137222605,4.263496,6.196301,6.76964997,2316.6145,34.26781,24.94187,-0.58739104,1.82126768,-1.48172833,142.5831,44.7791,0.35441,221.5053,106.0241,34.8901,0.348739318,0.638500651,138.7230285,27.95290624,6.006135962,3.184143942,442
M-139,144.75701,0.069517306,4.605,0,2.9071,1.569412,0.125697382,4.270168,6.053102,6.76735294,2296.3445,33.40139,24.93977,-0.86489984,1.730544,-1.542577741,148.5174,42.3698,0.365158,230.3758,110.1002,31.8112,0.31935132,0.630416364,133.4814017,28.58746963,6.062751533,3.505265543,435
M-140,146.716769,0.061947375,4.60525,0,3.00002,1.5892087,0.155864219,4.281544,6.2296939,6.787192583,2347.22785,33.978501,24.899731,-1.080514952,2.188481712,-1.521257496,148.86961,48.94885,0.3515738,234.68759,108.76319,38.63299,0.371154897,0.673602197,150.9773973,28.60838583,6.160308603,3.041330082,439
M-141,144.365223,0.069192177,4.66662,0,2.99997,1.5955396,0.142953568,4.2844016,6.0866058,6.781109966,2322.75455,33.188557,24.899751,-1.185161482,1.975269136,-1.581087939,153.55402,45.99954,0.3622186,241.1087,112.2211,35.11076,0.338211247,0.675356366,144.2486093,29.34966686,6.185018984,3.338164251,497
M-142,146.1975,0.062552451,4.675,0,3.1,1.61775,0.167877117,4.2975,6.25925,6.80251,2374.625,33.715,24.86,-1.475,2.475,-1.539010437,154.525,52.7,0.349,246.55,111.225,42,0.383295832,0.684233741,161.9047619,28.91094437,6.299343809,2.932163188,484
M-143,144.019099,0.068801295,4.72326,0,3.08501,1.6195248,0.154722713,4.2977428,6.1176874,6.794216848,2347.05615,32.996891,24.865213,-1.448521142,2.172790224,-1.600665681,158.16526,49.31752,0.3595638,250.9282,114.1667,38.12638,0.34982322,0.694127898,154.012281,29.78782673,6.301479511,3.207080567,575
M-144,144.903777,0.063186406,4.84772,0,3.34775,1.6884416,0.18491923,4.3368682,6.3322684,6.840183813,2442.44975,33.060268,24.760378,-2.249421286,3.00555588,-1.530412707,168.53938,61.99855,0.3426016,275.94963,117.32336,50.34667,0.391802449,0.666442636,188.6178914,28.82981499,6.653610032,2.718440673,541
M-145,143.143269,0.067390264,4.86774,0,3.30177,1.6806918,0.173469936,4.3319046,6.1971162,6.827883969,2409.05895,32.509986,24.778248,-1.99346458,2.563006482,-1.603327405,169.91856,57.77187,0.3528156,275.95299,119.12766,45.81003,0.362647551,0.692187496,178.5329498,30.12137677,6.608049727,2.941198891,504
M-146,144.546417,0.063140595,4.89579,0,3.41664,1.7081101,0.187252001,4.3478744,6.3526461,6.850757597,2461.33145,32.878813,24.733083,-2.413161389,3.107583611,-1.517150686,172.43623,64.58295,0.3408298,284.12309,119.01985,52.66637,0.390217703,0.655029878,195.9522745,28.63493346,6.755569076,2.669996183,531
M-147,142.3,0.026975541,5,0,3.5,1.7,0.157620718,4.37,6.835,7.05725,2715.75,34.325,24.8,-3,4.5,-1.386294361,185.75,66.75,0.3425,291.5,136,59.5,0.28630259,0.55646659,203.0418251,28.30266998,6.964478818,2.782771536,431
M-148,127.66544,0.036527108,8.556,0.074,6.8524,1.824832,0.060491402,4.75226,4.09376,7.42037772,1690.460406,28.78152,24.95932,-1.69732096,10.75226752,-1.497462712,149.8572,122.156,0.329256,281.4216,141.3388,102.5612,0.413902687,0.531758197,364.2403063,19.35001618,11.51863878,1.226769049,199
M-149,140.16,0.039147616,5,0,3.4,1.686,0.143117733,4.356,6.53,6.99544,2610.6,33.24,24.82,-2.56,3.52,-1.609437912,184.4,59.4,0.358,288.4,135,50.8,0.2583668,0.611609466,185.046729,32.37419167,6.831675453,3.104377104,443
M-150,139.586125,0.037054019,5.16677,0,3.50007,1.7983693,0.185773852,4.3884211,6.9251385,7.140342804,2790.0558,33.133996,24.733828,-4.222391113,4.889084446,-1.791775304,204.33742,74.00148,0.3466736,325.33984,146.00292,66.16799,0.304770399,0.628868358,226.5375469,37.34306716,7.142492075,2.761261261,510
M-151,141.18,0.02903714,5.2,0,3.6,1.832,0.194629561,4.406,7.248,7.2186,2910,33.98,24.7,-5.28,6.24,-1.609437912,209.4,82.8,0.332,335.2,149,76.2,0.320347883,0.557934415,247.9041916,33.66066412,7.315886462,2.528985507,498
M-152,138.45,0.034648859,5.25,0,3.75,1.7225,0.149280502,4.3625,6.95,7.037275,2777.5,33.875,24.75,-3.25,3.25,-1.386294361,202.25,59,0.38,311.5,148,50.5,0.174403175,0.68826917,190.3225806,28.76442175,6.893069222,3.427966102,504
M-153,138.1,0.031480181,5.4,0,3.8,1.85,0.18561882,4.4,7.34,7.20262,2959.4,33.62,24.66,-4.64,4.64,-1.609437912,222.6,76.6,0.362,351.2,158.6,69,0.231338811,0.660300875,240.1253918,34.96171869,7.256313856,2.906005222,552
M-154,139.83046,0.040740277,4.7773,0.1111,3.1108,1.718717,0.138372434,4.370674,5.831639,6.7594351,2275.26945,30.85247,24.61976,-8.98585688,9.77582232,-1.581035636,170.9829,54.8834,0.361075,273.0838,122.9877,44.6622,0.344225013,0.725100065,171.799194,20.92374499,6.970926235,3.115384615,486
M-155,139.725,0.023104619,5.5,0,4,1.905,0.190916694,4.425,7.8475,7.316225,3151.75,34.8,24.6,-6.5,6.5,-1.386294361,233.5,88.25,0.3475,370,165.5,82.25,0.223386762,0.568742303,270.4980843,29.82815617,7.507228766,2.645892351,454
M-156,139.45,0.042492507,5,0,3.5,1.7325,0.14368556,4.3825,6.1375,6.8569,2443.25,31.175,24.675,-2.75,3.75,-1.386294361,182,58.75,0.36,294.25,129.25,46.25,0.291182873,0.690922845,183.59375,25.41174111,7.084864499,3.09787234,440
M-157,145.66771,0.062482316,4.76461,0,3.23523,1.6558493,0.179879674,4.3187372,6.3098763,6.823475481,2413.4817,33.41699,24.805386,-1.937641385,2.82342353,-1.528451879,161.82025,57.99891,0.3446988,262.11237,114.29179,46.82267,0.393596779,0.678465196,177.0145087,28.73363984,6.488445562,2.790056744,600
M-158,145.488904,0.063051438,4.76688,0,3.23216,1.6553816,0.178876148,4.3180856,6.2975728,6.821912876,2410.6312,33.360916,24.804004,-1.924856365,2.789905171,-1.542597271,162.00456,57.66628,0.3455432,262.2482,114.47536,46.4582,0.390993814,0.680351873,176.2263911,28.99371863,6.482574017,2.809346467,491
M-159,144.88744,0.064975813,4.77773,0,3.22219,1.6544279,0.174999161,4.3177346,6.2543819,6.819354028,2401.0871,33.166335,24.810863,-1.876505679,2.666613334,-1.581087939,162.77615,56.44388,0.3488854,262.88626,115.22107,45.11066,0.381029929,0.686980286,173.3761768,29.68807889,6.479413004,2.883858268,559
M-160,144.185148,0.06679944,4.78933,0,3.21043,1.6531083,0.170497915,4.3167126,6.2045507,6.815469214,2389.9283,32.941117,24.815045,-1.817065486,2.526164213,-1.603549996,163.62667,55.05098,0.352621,263.57104,116.04915,43.57764,0.369599449,0.693909223,170.0734191,30.04717085,6.470216455,2.972275335,577
M-161,143.56,0.068128387,4.8,0,3.2,1.652,0.166322854,4.316,6.16,6.8123,2380,32.74,24.82,-1.76,2.4,-1.609437912,164.4,53.8,0.356,264.2,116.8,42.2,0.359130187,0.69947772,167.0807453,30.08837822,6.463810505,3.055762082,602
M-162,146.55,0.059043942,4.75,0,3.25,1.6575,0.185188977,4.32,6.3725,6.828325,2427.5,33.7,24.8,-2,3,-1.386294361,160.75,59.75,0.34,261.25,113.25,48.75,0.407485783,0.668029337,181.0606061,25.98020119,6.499837227,2.690376569,538
M-163,139.475,0.042590254,5,0,3.25,1.7075,0.155466769,4.37,6.27,7.054575,2577,32.45,24.875,-2.75,3.25,-1.386294361,187,69.25,0.335,302.25,132.5,60.75,0.283144854,0.492816148,208.2706767,26.95338969,6.964478818,2.700361011,433
M-164,141.125,0.040691228,4.75,0,3,1.5675,0.032333549,4.295,6.4575,6.9712,2539.5,34.375,25,-0.25,1.75,-1.386294361,165,43.25,0.3725,242.5,129.25,37,0.187340382,0.4298884,137.8486056,29.02115177,6.277388523,3.815028902,238
M-165,140.24,0.038738703,5,0,3.2,1.726,0.185530082,4.346,6.946,7.14976,2769,34.02,24.86,-3.68,4.64,-1.609437912,192.8,64,0.356,296,143.6,58.2,0.32206829,0.69856158,198.757764,33.37384844,6.738113651,3.0125,447
M-166,142.4,0.025864251,5,0,3.25,1.75,0.2022728,4.3575,7.355,7.25015,2913.75,35.3,24.85,-4.5,6,-1.386294361,196.25,72.5,0.34,301,146.75,68.75,0.351562354,0.637660707,219.6969697,29.08488618,6.845802642,2.706896552,448
M-167,138.55,0.034321619,5.25,0,3.5,1.7725,0.19328137,4.35,7.47,7.230175,2975.5,34.85,24.8,-4.5,4.5,-1.386294361,212.75,64.75,0.3775,321,158.75,59.75,0.250034346,0.771534462,208.0321285,29.79663795,6.775409391,3.285714286,493
M-168,140.865258,0.020917483,5.33328,0,3.66663,1.8199818,0.210997697,4.366623,8.1899181,7.390759425,3237.30096,36.832965,24.766419,-6.666533334,6.666533334,-1.098611302,223.99776,76.33257,0.3633297,335.99664,167.99832,74.33259,0.255156458,0.69208465,239.7868096,22.90428044,6.932249543,2.934497817,411
M-169,148.295637,0.058856706,4.39389,0,2.69694,1.5027111,0.078178539,4.2332904,6.1402491,6.740950707,2264.22045,34.778493,25.020963,0.404072323,1.065162571,-1.303361657,131.72553,37.57545,0.3593898,198.72459,101.30175,28.42407,0.271840583,0.436463906,117.3114321,24.94097762,5.755305351,3.505627478,292
M-170,149.960367,0.048607328,4.33317,0,2.66658,1.4899452,0.077690433,4.2265029,6.2230836,6.74003358,2271.58014,35.365143,25.032321,0.888871111,0.888871111,-1.098608342,126.99591,38.33193,0.3533196,190.99377,98.33034,29.66559,0.268721757,0.443917915,118.5498432,21.63834517,5.700159758,3.313058069,372
M-171,126.506432,0.013622572,7.84607,0,6.15378,1.7992125,0.053330621,4.703798,4.2707261,7.526039839,1889.51997,27.253567,24.561289,-3.124185799,3.124185799,-1.285286972,208.22897,109.99868,0.3299968,360.91968,151.92154,100.6143,0.214520904,0.303319075,328.3527004,17.06820437,10.83158417,1.893013353,140
M-172,126.76,0.013125994,8.65,0,7.1,1.82675,0.051343638,4.71125,4.1025,7.5761575,1762.82325,28.7075,24.5925,4.6125,8.6625,-1.572747898,189.05,100.575,0.3305,316.5,146.625,96.9,0.267203515,0.427338612,300.4480956,27.66425637,10.93495255,1.879691772,170
M-173,128.785,0.0363499,7.75,0,5.975,1.748,0.078065666,4.5875,3.97425,7.5103675,1799.1,28.4375,25.02,-3.3525,4.1625,-1.572747898,219.425,118.575,0.3215,364.425,168.225,118.5,0.251841141,0.289520844,349.5210022,20.17363337,9.320870273,1.850516551,157
M-174,127.446148,0.038943446,8.3331,0.08333,6.49982,1.8241128,0.059485167,4.7940264,4.1815438,7.447411827,1718.385459,28.607488,24.965929,-5.194148892,9.527162232,-1.676208875,159.49457,123.58037,0.32249,299.65744,145.32911,102.1639,0.400759217,0.484399306,364.8075158,18.75471206,12.13954831,1.290614116,280
M-175,128.86,0.041513502,8.2,0,6.2,1.769,0.082286274,4.595,3.921,7.72921,1702.2,29.78,25.47,-3.36,3.36,-1.313834033,211.7,112.8,0.302,327,177.3,123,0.259844974,0.319045492,323.2091691,15.23461674,9.412675665,1.87677305,147
M-176,126.64,0.013352622,8.725,0,7.15,1.831375,0.05084858,4.735625,4.12125,7.57969875,1760.888625,28.77375,24.67625,3.878125,8.340625,-1.601059295,183.825,105.9875,0.32825,314.25,147.3125,98.85,0.291639227,0.44681205,315.5563826,27.3190876,11.2788242,1.734402642,167
M-177,128.5525,0.036166759,7.875,0,6.0875,1.757,0.078376793,4.61875,4.000125,7.51756375,1795.15,28.51875,25.08,-3.793125,4.515625,-1.601059295,212.5125,122.9875,0.31975,359.5125,167.7125,119.25,0.286089589,0.308981159,361.5950018,20.10392528,9.708379274,1.727919504,165
M-178,128.62204,0.041124132,8.29992,0,6.29994,1.7768158,0.081664386,4.625788,3.9497947,7.724170942,1703.61634,29.786369,25.504746,-3.626601334,3.626601334,-1.356526922,205.21442,117.5323,0.3013303,324.16334,176.28154,123.49878,0.291256182,0.340765069,336.4459629,15.58822006,9.797479219,1.746025731,138
M-179,128.38408,0.040644437,8.39984,0,6.39988,1.7846316,0.080809037,4.656576,3.9785894,7.719131884,1705.03268,29.792738,25.539492,-3.839861334,3.839861334,-1.379285819,198.72884,122.2646,0.3006606,321.32668,175.26308,123.99756,0.319632495,0.353515403,349.6574053,15.7135761,10.19530383,1.625399666,142
M-180,129.0175,0.036441693,7.625,0,5.8625,1.739,0.077399395,4.55625,3.948375,7.50317125,1803.05,28.35625,24.96,-2.838125,3.740625,-1.515494886,226.3375,114.1625,0.32325,369.3375,168.7375,117.75,0.212600069,0.258972491,337.3845586,19.88135479,8.94633742,1.982590605,229
M-181,129.09408,0.041816618,8.09984,0,6.09988,1.7611316,0.082675138,4.564076,3.8920894,7.734016884,1700.73268,29.772738,25.434492,-3.039885334,3.039885334,-1.242193919,218.17884,108.0646,0.3026606,329.82668,178.31308,122.49756,0.224326614,0.28392766,309.9340149,14.52565822,9.038933796,2.018966803,141
M-182,128.7649,0.040728384,7.8881,0.1111,6.2216,1.794265,0.061506401,4.619538,3.989601,7.39241624,1673.945144,28.54159,24.39756,0.88871112,11.3557532,-1.581035636,186.5369,82.4362,0.338855,296.8592,137.2085,86.2136,0.288180328,0.421907811,249.3740405,22.89359182,9.718321531,2.262803235,207
M-183,128.011706,0.039136404,8.27234,0.0909,6.54516,1.8153648,0.060220468,4.71613,4.071618,7.437653542,1683.829829,28.789472,24.707858,-1.52029522,10.77566053,-1.767719932,169.90103,103.44977,0.3299833,293.0772,141.1751,94.54104,0.353702391,0.527342715,308.7975867,23.22814288,11.00308853,1.642352902,208
M-184,128.674878,0.046895717,8.12234,0.0877,6.38564,1.8056676,0.065761263,4.7024864,4.098842,7.416123374,1692.892523,28.855872,24.721082,-4.14736871,12.76456048,-1.857662428,167.90213,101.95919,0.3278715,289.66728,139.13194,93.04728,0.357061253,0.531128664,303.3919556,22.00026075,10.81347522,1.646758178,272
M-185,128.65577,0.036861173,7.68636,0.07462,5.9103,1.7821862,0.068417536,4.6416536,4.2934578,7.314255866,1774.504178,28.809586,24.742544,-5.729029308,13.03541381,-1.921149314,171.53261,90.29613,0.3461089,290.02208,139.35436,80.47544,0.318070341,0.630028642,276.1809421,22.61582858,10.00083724,1.89966735,576
M-186,128.738496,0.036501714,7.60831,0.07246,5.82579,1.7777369,0.069096979,4.6316518,4.3228293,7.29768907,1786.506622,28.811603,24.746589,-6.140979203,13.19759775,-1.913433427,171.74505,88.54618,0.3482436,289.60868,139.10897,78.60464,0.313121743,0.643319564,271.7155674,22.28098739,9.872233399,1.93960993,578
M-187,128.821504,0.036147512,7.53497,0.07042,5.74629,1.7736079,0.069654839,4.6223946,4.3507203,7.282344514,1797.907075,28.814629,24.751371,-6.498391402,13.32197673,-1.902962087,171.95263,86.89846,0.3502716,289.23068,138.88311,76.8424,0.308388744,0.655770741,267.4916473,21.94841486,9.754434636,1.978776494,595
M-188,128.89623,0.035800921,7.46544,0.06849,5.67099,1.7696544,0.070110861,4.6135122,4.3769538,7.267632192,1808.62946,28.816656,24.755175,-6.807549852,13.41234191,-1.890377925,172.14384,85.33872,0.3521781,288.86508,138.66564,75.17472,0.303868948,0.667475688,263.4635229,21.61966916,9.642508723,2.01718329,599
M-189,128.969394,0.0354604,7.3998,0.06666,5.59986,1.7659478,0.070477436,4.6051968,4.401873,7.253855386,1818.817394,28.819138,24.75926,-7.074948455,13.47462846,-1.876243137,172.32861,83.86445,0.3539893,288.5256,138.46284,73.598,0.299537885,0.678476504,259.6379596,21.29864575,9.538699455,2.054846958,588
M-190,128.45382,0.042333347,8.3325,0.1111,6.666,1.812041,0.066565847,4.763968,4.025153,7.33408874,1655.502544,29.11931,24.61976,-2.9623704,11.65199024,-1.581035636,167.2055,109.989,0.332189,303.303,139.2083,93.9906,0.395536659,0.530268944,329.4015822,18.80007272,11.68995969,1.52020202,208
M-191,129.647996,0.046973948,7.5451,0.0909,5.63611,1.7517313,0.079540627,4.6161345,3.9679863,7.384492298,1713.143056,28.5713,25.053297,-8.79230251,9.321180528,-1.767719932,194.44538,117.99457,0.3227109,331.80273,158.62886,111.9948,0.367257032,0.415378093,348.4319178,16.38697282,9.675440043,1.647918036,204
M-192,128.825886,0.051516795,7.51042,0.10638,5.61686,1.7856916,0.068153457,4.7139019,4.2285953,7.350486907,1764.273628,27.933199,24.790745,-12.02269314,12.02269314,-1.689764662,172.78217,112.80523,0.3253095,313.01212,141.71927,96.25252,0.376136524,0.47627667,334.391043,12.76455438,10.97193539,1.531685809,272
M-193,127.945304,0.03951623,8.4546,0.0909,6.72734,1.8209112,0.062107283,4.743641,4.080916,7.394195902,1676.644977,28.772732,24.945462,-2.511966938,11.23941421,-1.51569913,148.63702,120.3646,0.3299996,278.18356,140.09158,101.27342,0.417835644,0.545753076,359.2970989,18.61758322,11.39386015,1.234889826,239
M-194,130.841706,0.046956604,6.9999,0.1111,5.11106,1.7144112,0.075106395,4.4588015,3.8565942,7.303633771,1710.24834,27.966104,24.999508,-7.258611858,8.048719512,-1.522937865,200.21939,107.1098,0.3333263,322.77351,156.21993,111.88745,0.354911275,0.446189651,321.32601,14.3973511,7.857942225,1.869291045,396
M-195,140.64,0.051778016,4.6,0.1,2.9,1.592,0.029435614,4.35,5.144,6.70972,2064.5473,30.04,24.55,-10.96,12.24,-1.470808476,158,59.6,0.355,262.8,110.4,48.2,0.374863111,0.648102913,184.8062016,14.28742547,6.775409391,2.651006711,418
M-196,149.7158,0.050428592,4.274,0.09,2.366,1.46804,0.082640845,4.17626,6.34932,6.8351212,2376.30257,37.3454,25.1464,-5.62016,8.27008,-1.767126323,131.776,44.566,0.34088,195.364,101.756,41.1,0.310117899,0.386365357,135.2287899,29.29431142,5.305485982,2.956872952,396
M-197,151.198488,0.050120523,4.11107,0.11111,2.2222,1.4610965,0.091109338,4.1599584,5.9566071,6.675244358,2173.697485,36.410747,25.088638,-7.40725926,9.777582223,-1.581087939,117.88771,40.66626,0.3388855,179.77598,89.22133,34.88854,0.2667325,0.411310886,123.0233492,21.16807152,5.182435743,2.898907104,338
M-198,141.33192,0.038533917,4.55551,0.11111,2.66664,1.5722065,0.031557917,4.2932904,6.1166055,6.861642494,2361.028945,33.699663,24.910862,-8.394893828,9.58005531,-1.581087939,155.88733,41.1107,0.3722185,227.10884,122.99877,36.44408,0.249556267,0.451070301,130.971365,22.64308802,6.262411363,3.791891892,341
M-199,130.075184,0.049478021,7.3996,0.12,5.45569,1.7471917,0.079750834,4.6053675,3.9494787,7.339708562,1688.1832,28.56257,25.025943,-10.06362913,10.55918881,-1.783193489,190.87772,114.98563,0.3242241,324.51027,155.88764,109.434,0.382165692,0.443371719,340.3069864,14.96598656,9.540821067,1.66001369,487
M-200,128.213576,0.04205475,8.3574,0.1071,6.60746,1.8171528,0.063561372,4.735379,4.068604,7.369098538,1663.401785,28.764308,24.932178,-3.263356634,11.68253216,-1.529911565,147.46738,118.6474,0.3307124,275.07964,138.89602,100.03898,0.421513705,0.559118545,354.5483287,17.89586211,11.27530927,1.242904438,279
M-201,139.93466,0.040484602,4.7392,0.1304,2.8262,1.694786,0.147343102,4.358264,5.894448,6.91520674,2362.684079,31.90884,24.78698,-10.01727024,10.39537232,-1.59266796,173.4384,63.3494,0.339564,276.3982,124.7412,57.001,0.349025332,0.556982695,191.8411474,21.26995407,6.853007443,2.737806514,483
M-202,130.420706,0.060496416,7.27236,0.13636,5.36336,1.7694574,0.075156055,4.6702218,4.190696,7.276870396,1717.738695,28.339468,24.762396,-14.38692301,16.70063707,-1.869955338,164.17371,103.13135,0.3249841,291.07664,134.72066,90.08648,0.391525804,0.535641598,305.5671726,12.32003789,10.37588239,1.591889469,641
M-203,149.4206,0.050257036,4.218,0.13,2.262,1.47428,0.082848059,4.18082,6.21924,6.7977884,2312.88149,36.9478,25.1048,-8.37984,10.80192,-1.78659769,129.632,43.662,0.34216,191.348,100.492,40.7,0.317744914,0.397506164,132.7435243,25.97724317,5.340338916,2.968989052,427
M-204,140.006326,0.039923624,4.68407,0.15789,2.94728,1.7131065,0.135870957,4.3661848,5.7035131,6.719156314,2204.798012,30.720131,24.599262,-11.12398627,11.833085,-1.603549996,166.36343,53.26156,0.3615681,264.2026,120.36481,43.99868,0.364052535,0.738716017,166.8511865,18.27196044,6.928076594,3.123517787,516
M-205,127.048,0.03689369,8.31,0.07,6.44,1.823,0.061356326,4.8291,4.2665,7.401933,1769.38311,28.048,25.227,-8.4168,8.4168,-1.166408852,144.36,147.22,0.3216,302.76,147.18,112,0.462961717,0.405744276,434.0212264,8.742865663,12.68227577,0.980573292,167
M-206,128.473568,0.044263955,8.2632,0.1228,6.49128,1.8135104,0.064887289,4.727372,4.056672,7.344775784,1650.567333,28.756144,24.919304,-3.963989606,12.08969672,-1.541054375,146.33384,116.9832,0.3314032,272.07152,137.73736,98.84264,0.424990632,0.572035354,349.9364639,17.18488908,11.16139997,1.250896197,291
M-207,129.16196,0.05150165,7.3068,0.1795,5.3326,1.782123,0.066785293,4.695925,4.138276,7.26637908,1692.887104,27.84595,24.73084,-11.6541922,11.6541922,-1.608030569,168.3133,108.0886,0.330994,301.706,138.8298,93.1166,0.399680605,0.528013683,323.1319301,10.97965787,10.72326188,1.557179018,538
M-208,129.243578,0.051899164,7.28565,0.18367,5.30608,1.7814111,0.066998162,4.6942396,4.1348581,7.26054627,1689.193946,27.850741,24.730366,-11.79479544,11.79479544,-1.608580879,167.89645,107.67256,0.3312211,300.73208,138.50895,92.81552,0.40129971,0.531632203,321.9974793,10.79740622,10.70019067,1.5593244,529
M-209,130.1746,0.056329964,7.0008,0.2381,4.953,1.770181,0.069475443,4.667143,4.085664,7.17637588,1639.008421,27.88373,24.69772,-13.4262114,13.4262114,-1.605163414,162.2563,102.1074,0.333842,287.6524,134.1578,88.7722,0.421887799,0.578915827,306.5561023,8.448210034,10.33490875,1.589074837,487
M-210,130.73238,0.058489092,6.8175,0.2727,4.7268,1.762551,0.070739474,4.648626,4.053231,7.1208333,1606.604687,27.89721,24.67026,-14.27813568,14.27813568,-1.594107277,158.6205,98.5356,0.335421,279.2448,131.3505,86.1732,0.434245372,0.608861381,296.5354006,7.016132123,10.09131218,1.609778598,484
M-211,131.285716,0.055735631,7.18151,0.27272,5.27249,1.7662922,0.072633627,4.5852696,3.8898419,7.093147088,1532.11381,28.480678,24.599014,-6.2144767,13.88320795,-1.594141457,146.44837,88.7234,0.3445318,246.8985,124.44931,83.08733,0.437890575,0.704467047,270.7176336,14.09290916,9.293712976,1.650617199,573
M-212,128.3,0.040206455,7.2,0.1,5.4,1.772,0.058907397,4.628,4.17,7.36355,1806.0473,27.16,24.41,-6.96,6.96,-1.313834033,204.2,94.8,0.337,341.6,143.5,91.4,0.246612713,0.335761333,285.9728507,12.76903146,9.825623114,2.154008439,620
M-213,128.6136,0.038883333,7.9,0.02,6.076,1.76288,0.078678922,4.6426,4.01328,7.4939808,1774.04546,28.594,25.1212,-5.265344,5.88,-1.675288267,203.148,125.332,0.31904,349.588,165.316,118.24,0.3284901,0.342882895,368.1038534,19.44566216,10.01307807,1.620878946,180
M-214,133.08311,0.063097654,6.08793,0.41176,3.8233,1.7334576,0.073381985,4.5783403,3.9265969,6.904123098,1477.977692,27.975358,24.581362,-16.31365053,16.31365053,-1.492929843,144.16948,84.28954,0.3420457,245.75204,120.20013,75.81962,0.47665075,0.728507429,256.2170047,2.032435097,9.209762256,1.710407721,657
M-215,131.77872,0.061214517,6.501,0.3333,4.3342,1.750189,0.072350953,4.618829,3.998794,7.0277068,1550.874451,27.93609,24.63584,-15.44648868,15.44648868,-1.560812675,152.3555,92.3494,0.338364,264.7092,126.518,81.6798,0.454124616,0.660845475,279.1547014,4.679793729,9.709375641,1.649772494,506
M-216,129.902,0.051359495,6.74,0.2,4.74,1.7576,0.05876052,4.5015,4.0772,7.273525,1693.4846,26.982,24.65,-8.6088,8.6088,-1.166408852,171.51,83.68,0.3419,270.83,133.03,87.45,0.34816766,0.546014031,254.3078559,7.814793837,8.320387002,2.04959369,582
M-217,132.262806,0.05834706,6.83309,0.33333,4.83314,1.7532793,0.074267514,4.5598604,3.8482133,7.000913146,1482.236043,28.465811,24.565926,-7.666346667,14.11027557,-1.560688966,141.16185,83.33024,0.3466565,234.99164,120.16259,78.8305,0.452346549,0.749533393,255.0886019,11.56766465,8.988956561,1.694005081,651
M-218,135.13896,0.056828221,5.57121,0.42857,3.28555,1.6785197,0.069214695,4.4198646,3.6941688,6.848534421,1432.578324,28.284866,24.599254,-15.18282939,15.50932735,-1.475049502,168.85036,72.99683,0.3442759,258.41773,127.99506,80.56804,0.472869502,0.628366417,222.6449508,2.386739637,7.455105456,2.313119077,644
M-219,128.9072,0.041512879,7.8,0.04,5.952,1.75976,0.078971163,4.6352,4.00056,7.4632016,1756.89092,28.588,25.1024,-6.322176,6.912,-1.713004544,200.696,123.264,0.32008,344.576,163.432,116.48,0.339804415,0.364110664,362.5838334,18.70082832,9.917697715,1.628180166,170
M-220,127.4808,0.03079964,7.43318,0.05,5.69988,1.7809642,0.056043012,4.64724,4.2132482,7.439941334,1854.48559,27.096126,24.421178,-4.939845334,4.939845334,-1.242193919,210.92898,98.73128,0.33516,354.79264,147.41364,94.69804,0.201999763,0.282053806,297.0076409,14.21369231,10.07327312,2.136394666,474
