No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,HV
M-069,127.976682,0.035313651,8.1815,0,6.36339,1.7790204,0.077718469,4.695269,4.0634757,7.534926387,1785.38284,28.717039,25.226268,-4.561634717,5.090512735,-1.594141457,195.53713,133.81315,0.3154418,347.44029,166.44785,121.08612,0.356833658,0.328360192,390.9474753,19.10270275,10.71427706,1.461269913,152
M-070,127.696138,0.034666172,8.3331,0,6.49982,1.7899475,0.076668384,4.7331955,4.0948806,7.543724641,1780.61272,28.815813,25.299249,-4.777508892,5.221917782,-1.560688966,187.16013,139.16308,0.3133237,341.4891,165.82829,121.99644,0.386585539,0.328071833,405.3236729,18.32834214,11.2441507,1.344897871,150
M-071,127.253272,0.033315241,8.5712,0,6.71411,1.8070907,0.07404787,4.7927205,4.1441673,7.557432058,1773.08876,28.970578,25.413537,-4.897663676,5.224161636,-1.475049502,173.9932,147.56801,0.3099903,332.13177,164.85208,123.42504,0.427290602,0.318603239,427.7273493,16.84802718,12.11972083,1.179071263,158
M-072,128.477444,0.035402241,7.85725,0,6.04771,1.7595427,0.078485903,4.633383,4.0871715,7.487863226,1810.20478,28.614569,25.128825,-5.296944032,5.877466118,-1.724236132,204.33563,122.76406,0.3228594,350.8614,165.47819,115.04976,0.312350097,0.366219825,362.5954787,20.65444372,9.894394118,1.664458067,151
M-073,126.15,0.013655516,8.25,0,6.5,1.82,0.05312934,4.7875,4.3025,7.54745,1859.25,27.75,24.85,-3.75,3.75,-1.386294361,187,126.5,0.3225,345,153.25,106.5,0.319717232,0.36089792,373.4317343,17.68035595,12.04072734,1.47826087,129
M-074,128.11616,0.033967777,8.11632,0.06976,6.51168,1.8030248,0.058408602,4.6358168,4.017912,7.458625736,1708.567108,28.555816,24.409304,2.747780122,10.66508997,-1.542604165,191.37296,85.16328,0.3374416,305.86208,140.20984,88.74464,0.261394906,0.389405804,257.074033,24.66183166,9.92561876,2.247129984,180
M-075,125.84,0.013198054,8.6,0,6.8,1.838,0.050968611,4.86,4.33,7.56594,1833,28.18,25.1,-3.84,3.84,-1.33217904,168.6,140.8,0.316,331.2,154.4,111.6,0.385018369,0.354072337,411.6959064,16.46304602,13.17703245,1.197443182,125
M-076,128.12,0.035850862,9,0,7.2,1.814,0.074337411,4.68,3.904,7.71674,1636.754,30.48,25.34,1.76,6.88,-1.609437912,182.8,111.8,0.308,290.8,164.8,115.2,0.34109357,0.45557153,323.1213873,23.66250439,10.50691257,1.635062612,208
M-077,128.3168,0.041069175,8.96984,0.01192,7.2164,1.8147976,0.074339847,4.6782632,3.8992904,7.714209204,1629.943741,30.638032,25.34888,1.772119104,6.935130048,-1.63629445,181.92968,111.25436,0.3077612,289.40684,163.97808,114.66376,0.347143894,0.460733068,321.4334706,23.94745514,10.48353887,1.635258879,192
M-078,125.9,0.010447138,9.5,0,7.75,1.88,0.016394718,4.825,4.15,7.787425,1666.1925,30.1,25.1,5,6.5,-1.386294361,158.5,107,0.31,265.25,150.25,100.5,0.275533586,0.522654726,310.1449275,24.2051087,12.61780775,1.481308411,154
M-079,125.18748,0.004704046,8.9991,0,6.9993,1.873146,0.017615924,4.882845,4.369563,7.80698589,1768.8231,29.06376,25.3308,-1.33306668,1.33306668,-1.098602422,162.9837,125.6541,0.29997,293.6373,157.9842,107.9892,0.304423489,0.419303749,358.9963287,14.82394694,13.5530684,1.297082228,124
M-080,127.452768,0.03259481,8.47172,0.0566,6.79248,1.8232084,0.056867864,4.732832,4.09755,7.492824896,1712.231775,28.809436,24.728304,0.156830816,9.811209056,-1.735851681,173.18904,106.45316,0.3284904,300.2272,143.755,96.90592,0.339247237,0.500728138,317.0562565,24.86902479,11.23897053,1.626903701,179
M-081,124.43724,0.02168135,8.61531,0.15384,6.46149,1.8753658,0.01732472,4.8807205,4.3899555,7.834143941,1762.67487,28.276664,24.92284,-11.83379432,11.83379432,-1.285286972,156.84477,120.69125,0.292305,282.15137,149.92182,105.46056,0.332946193,0.44307207,341.0826698,7.003063338,13.51772565,1.299553779,149
M-082,123.784434,0.028330929,8.28561,0.28572,5.99991,1.8771242,0.017017326,4.8785225,4.4070999,7.856822905,1757.26779,27.59968,24.57116,-19.42863428,19.42863428,-1.351783447,151.56957,116.42713,0.285711,272.28235,142.99812,103.28454,0.354921811,0.461868485,325.9944644,0.322007417,13.48124104,1.301840645,287
M-083,123.221252,0.032420291,8.00009,0.4,5.60007,1.8786854,0.016704832,4.8767155,4.4220437,7.876631411,1752.61769,27.013624,24.26692,-24.96032267,24.96032267,-1.379295472,147.00163,112.73459,0.280003,263.73627,137.00158,101.40108,0.372200289,0.476868481,313.1529437,-4.861036249,13.45130814,1.303962076,570
M-084,126.8,0.022222402,8,0,6,1.8125,0.060233395,4.7375,4.605,7.542875,1874.25,29.025,25.225,-10.5,10.5,-1.386294361,167,101.75,0.33,289.25,151.25,85,0.260633859,0.605694712,303.7313433,11.10325111,11.30564483,1.641277641,238
M-085,137.259,0.035708899,5.454,0,3.9087,1.832544,0.181126571,4.40865,7.04475,7.16225643,2883.7116,32.724,24.543,-4.82548104,4.957686,-1.767684691,225.8865,81.3555,0.364509,364.5999,156.8025,71.9928,0.22223431,0.620986747,256.039818,37.55762325,7.342327143,2.776536313,676
M-086,126.21,0.012330604,9.15,0,7.475,1.858,0.038852129,4.7925,4.145,7.6853325,1712.57325,29.47,24.93,4.05,7.425,-1.572747898,168.55,109.2,0.318,288.625,149.125,100.65,0.30400532,0.489589422,320.2346041,26.44465659,12.11637564,1.543498168,158
M-087,126.365,0.012993167,8.975,0,7.3375,1.847,0.045228704,4.77625,4.1425,7.63428625,1735.763625,29.155,24.845,3.6125,7.75625,-1.601059295,173.575,110.3,0.322,300.3125,148.5625,100.725,0.310728104,0.472841651,325.3687316,26.71899841,11.87195671,1.573662738,161
M-088,126.929546,0.014287524,8.33306,0,6.83311,1.806611,0.059070616,4.716523,4.133209,7.446886447,1820.743468,27.999118,24.532586,2.222044448,8.221724451,-1.560688966,191.99491,114.33005,0.3366571,343.15793,146.49553,100.99698,0.308836631,0.409549536,344.7087472,25.84864605,11.00859107,1.679303998,172
M-089,127.526918,0.037189886,7.84077,0.06818,6.02262,1.8133706,0.065458006,4.7485429,4.2973973,7.430487018,1819.625579,27.808528,24.788146,-7.262066945,7.262066945,-1.615996507,181.60954,119.45222,0.3252209,331.44716,147.88341,101.4071,0.351962064,0.423700545,354.0483693,17.18679164,11.46468682,1.520352991,162
M-090,126.055,0.011496006,9.325,0,7.6125,1.869,0.030273836,4.80875,4.1475,7.73637875,1689.382875,29.785,25.015,4.5125,7.00625,-1.515494886,163.525,108.1,0.314,276.9375,149.6875,100.575,0.292745298,0.506184153,315.1603499,25.79970783,12.36497367,1.512719704,153
M-091,128.78,0.031524722,8.2,0,6.8,1.892,0.085185368,4.68,4.626,7.42552,1984.354,28.58,24.62,4.64,10.72,-1.609437912,188.6,115.2,0.328,334.8,146.6,103,0.344025874,0.441648377,342.8571429,31.19397341,10.50691257,1.637152778,263
M-092,126.9,0.013488765,8.75,0,7.25,1.825,0.054862971,4.7,4.0775,7.5088,1756.6925,28.55,24.75,4.75,9.75,-1.386294361,170.25,113,0.335,300.5,143.75,102.25,0.351378163,0.501505291,339.8496241,24.99824287,10.77921533,1.506637168,143
M-093,129.15,0.03718826,7.75,0,6,1.7375,0.081126074,4.5625,3.935,7.4357,1797,28.25,25.225,-4,5,-1.386294361,204,133,0.325,353.75,167.75,126.25,0.356581849,0.33044236,394.0740741,16.712841,9.0202228,1.533834586,145
M-094,136.586065,0.038220145,5.50011,0,4.00008,1.8183697,0.176738613,4.416755,6.800136,7.130075932,2821.22309,31.983973,24.450489,-4.889084446,5.111315558,-1.791775304,228.67124,85.33504,0.366674,375.84085,155.33644,74.50149,0.213966012,0.587479061,269.482194,37.14069526,7.423690477,2.6796875,705
M-095,138.825,0.049273969,5.25,0,3.75,1.715,0.153691608,4.42,5.9675,7.05915,2562,31.175,24.5,-5.5,6,-1.386294361,207,94,0.3275,358,134.5,82.25,0.293197317,0.346276187,279.5539033,24.03049452,7.456475858,2.20212766,630
M-096,140.475,0.048609272,5,0,3.5,1.575,0.038490018,4.345,6.155,6.975775,2524.5,33.1,24.625,-4.5,6,-1.386294361,185,68,0.365,298.25,131.25,58.5,0.28167816,0.574753595,214.1732283,24.5982566,6.728816497,2.720588235,495
M-097,126.585,0.014238937,8.9,0,7.35,1.83675,0.053238143,4.7925,4.1225,7.543345,1752.44825,29.0325,24.7175,3.0375,8.2125,-1.572747898,178.175,116.075,0.32675,320.125,147.75,101.275,0.333596613,0.448083074,344.8199035,25.95358651,12.11637564,1.534998923,172
M-098,126.5525,0.013881755,8.85,0,7.275,1.836375,0.05175559,4.77625,4.13125,7.5632925,1755.701125,28.93625,24.73875,3.134375,8.128125,-1.601059295,178.3875,113.7375,0.326375,316.0625,147.875,101.0375,0.323848688,0.452414312,337.6878827,26.50628156,11.87195671,1.568414111,171
M-099,127.32041,0.036150723,7.88343,0.06976,6.0463,1.8052776,0.059555156,4.7519053,4.2386719,7.438207398,1794.593426,27.787258,24.803662,-7.267996774,7.267996774,-1.54258582,179.73748,119.34454,0.3258007,328.17404,147.64563,101.29862,0.353057987,0.428937576,354.0334142,15.74915307,11.51348137,1.506038567,124
M-100,126.429536,0.012436207,8.6664,0,6.99978,1.8349449,0.045892587,4.716523,4.1632096,7.6362069,1767.575738,28.582463,24.815925,3.222024447,7.44396223,-1.560688966,179.16132,105.1632,0.3249902,301.15709,148.3289,100.16363,0.285681159,0.460351128,311.5901428,26.15870306,11.00859107,1.703650326,157
M-101,126.6175,0.014582504,8.95,0,7.425,1.837125,0.054678589,4.80875,4.11375,7.5233975,1749.195375,29.12875,24.69625,2.909375,8.253125,-1.515494886,177.9625,118.4125,0.327125,324.1875,147.625,101.5125,0.343107717,0.44299461,351.9598737,24.95025516,12.36497367,1.502902987,182
M-102,149.3875,0.057218472,4.5,0,2.875,1.55,0.167089301,4.2325,6.325,6.7949125,2378.125,35.5625,25,-0.5,2.5,-1.559581156,141.5,51.25,0.3375,225.25,102.25,42,0.386211161,0.619089543,154.7169811,30.33747392,5.748860902,2.76097561,400
M-103,147.931854,0.061161468,4.66662,0,3.11108,1.6177616,0.191893663,4.2732906,6.3799362,6.827898387,2435.5312,34.799652,24.899751,-1.580215309,3.160430618,-1.581087939,154.88734,59.33274,0.33333,252.66414,108.44336,49.11062,0.412836422,0.634561133,177.99733,30.43716988,6.089400871,2.610486891,470
M-104,150.7375,0.047088827,4.25,0,2.375,1.46,0.076501054,4.1925,6.145,6.8607125,2326,36.45,25.225,1,1,-1.494175138,125.375,48.625,0.32125,194.75,94.5,42.5,0.279217699,0.320244932,143.2780847,29.89664042,5.430482615,2.57840617,301
M-105,150.83,0.048784721,4.3,0,2.5,1.4595,0.08125721,4.1815,6.3075,6.83741,2366.65,36.93,25.195,1.26,1.26,-1.544479521,127.8,45.4,0.333,195.5,96.95,39,0.279427095,0.367874382,136.131934,31.65151342,5.345552592,2.814977974,356
M-106,149.939502,0.061558427,4.54527,0,2.90897,1.5599363,0.196405603,4.2052848,6.3906537,6.827172345,2447.1751,36.39858,25.044456,-1.057756035,3.173297195,-1.594141457,146.35759,58.72491,0.3236232,240.17193,101.45033,49.63439,0.414048473,0.580326063,173.6455479,31.37829976,5.530602945,2.492257374,423
M-107,149.711155,0.053427231,4.47622,0,2.71429,1.4876272,0.127399761,4.1867044,6.650541,6.927439052,2536.92655,37.786183,25.185977,0.762080003,2.140530429,-1.724236132,142.57166,50.28548,0.3361942,217.14248,107.14342,45.04746,0.330078071,0.461331715,151.5066003,37.13186828,5.385596265,2.835245085,395
M-108,127.77078,0.042346039,7.796,0.0681,5.9552,1.799343,0.063017216,4.742554,4.252787,7.42477239,1798.105711,27.85442,24.81141,-8.91982512,8.91982512,-1.615863698,178.2378,118.0329,0.324543,325.2056,146.1903,100.1894,0.356344424,0.434994579,349.4904931,15.23790261,11.37820378,1.510068803,199
M-109,151.4,0.057316389,4.375,0,2.625,1.5125,0.178841142,4.1825,6.18375,6.8031875,2347.5,36.4625,25.1375,-0.625,2.125,-1.559581156,133.25,55.75,0.31625,219.125,92.875,47.125,0.405995256,0.528216098,163.071298,29.81535533,5.353227469,2.390134529,387
M-110,149.100128,0.055659927,4.54544,0,2.81816,1.5181754,0.152925995,4.2054506,6.6581802,6.934871152,2553.1784,37.372814,25.136374,0.066255208,2.578425784,-1.76775517,147.99886,53.63566,0.3345458,228.72484,109.45406,47.8176,0.353220636,0.510412396,161.2001547,37.59287225,5.53191139,2.759336978,480
M-111,145.7125,0.062335155,4.625,0,3,1.58375,0.157788069,4.245,6.23125,6.8331,2432.625,34.875,24.975,-0.875,3.875,-1.559581156,153.875,53.5,0.34,246.75,110.625,44,0.330439833,0.58707659,162.1212121,30.66918291,5.851485962,2.876168224,403
M-112,148.549118,0.057394991,4.6089,0,2.91316,1.5461445,0.16951222,4.2227783,6.6655697,6.942035504,2568.1881,36.997423,25.092329,-0.514116217,2.934025172,-1.786752186,152.96483,56.69807,0.3330579,239.31488,111.57235,50.35082,0.367180112,0.535777233,170.0239646,37.63876049,5.670086533,2.697884249,492
M-113,147.875845,0.06429966,4.72709,0,3.1817,1.6381189,0.206419431,4.2689218,6.4251995,6.851472588,2483.08455,35.044021,24.899,-1.983343473,3.569977526,-1.594141457,160.35773,64.90679,0.3254414,266.35401,109.45041,54.54353,0.421018302,0.598655284,192.4422578,30.92867374,6.052143205,2.470584819,462
M-114,149.720725,0.06317109,4.55551,0,2.88886,1.5844286,0.205916758,4.2288466,6.2543819,6.835253869,2408.30925,35.599644,25.021972,-1.580215309,2.76537679,-1.581087939,147.55408,63.3327,0.3144413,247.21975,100.11011,53.66613,0.44122743,0.553961077,184.7622968,30.07931133,5.719151344,2.329824561,432
