No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,R dR,R VE,R DE,R v,R dG,dR Ec,dR Tm,VE^2,VE DE,VE Xp,VE Fw,VE I1,VE Ss,VE Cp,VE B,VE G,VE v,VE c11,VE c12,VE c44,DE^2,DE Xp,DE Fw,DE Ec,DE I1,DE Tm,DE Ss,DE Cp,DE Sc,DE B,DE G,DE v,DE c11,DE c12,DE c44,Xp G,dXp dG,Fw I1,Fw Cp,Fw G,Fw c44,I1^2,I1 Cp,I1 G,I1 c44,Ss G,Ss c44,Cp G,Cp c44,G^2,G c12,G c44,c12 c44,c44^2,HV
M-001,149.40261,0.05025746,4.217,0.1304,2.2607,1.474197,0.082853245,4.180449,6.217275,6.79672316,2311.995379,36.94,25.10186,-8.40521304,10.82450984,-1.78663867,129.5969,43.6483,0.342139,191.2874,100.4689,40.6918,0.317836301,0.397637751,132.6976367,25.93949501,5.337496182,2.969116781,0.677467914,0.071721523,0.080347178,0.839355748,0.386479382,0.695241489,0.68893339,0.029211816,0.030677131,0.018919918,0.030086688,0.057582192,0.156662321,0.054864256,0.075967433,0.036229244,0.048975019,0.063422459,0.064063135,0.059745474,0.026584553,0.038537707,0.047448297,0.174789157,0.060766806,0.164055877,0.118909132,0.064712341,0.848629748,0.066312754,0.031226752,0.062049851,0.053355082,0.057210281,0.0398687,0.051804183,0.180328273,0.060565104,0.034882931,0.065861929,0.124469672,0.169134373,0.253937248,0.083504256,0.128657727,0.174682559,0.22628795,0.089840399,0.144434806,0.037122747,0.052897504,0.048594326,0.078139764,0.063555142,427
M-002,149.69412,0.050428193,4.2723,0.0909,2.3634,1.468035,0.082652236,4.175946,6.345729,6.8335893,2374.623696,37.33263,25.14294,-5.68481328,8.32891248,-1.767684691,131.7141,44.541,0.340875,195.2532,101.7171,41.0868,0.310313713,0.386644983,135.1519059,29.21601514,5.303093014,2.957142857,0.68140447,0.087313748,0.103458636,0.834835348,0.367789705,0.713197591,0.711624201,0.035500818,0.039203778,0.023570902,0.037373985,0.068673623,0.180763886,0.066009819,0.088239402,0.041782702,0.057520213,0.075424657,0.07368167,0.063922992,0.034996848,0.050245465,0.061721048,0.217724402,0.077159064,0.203033233,0.146687558,0.082871661,0.833889199,0.081807694,0.038385746,0.079969887,0.066890759,0.070248311,0.046525112,0.056644494,0.17335404,0.072154063,0.037894935,0.072103978,0.127515855,0.195482394,0.287084815,0.092136036,0.134034194,0.190323913,0.237136941,0.09815082,0.149023895,0.040937527,0.059797626,0.051715192,0.082863111,0.065672977,396
M-003,149.97733,0.050509063,4.3212,0.0566,2.4531,1.462975,0.082290191,4.172869,6.458601,6.866986,2429.511072,37.68122,25.18366,-3.10419048,5.95280568,-1.735918446,133.5799,45.3255,0.339845,198.7378,102.8219,41.4382,0.303255565,0.37655561,137.3177511,31.9616569,5.279691004,2.947124687,0.68399016,0.101325767,0.123816344,0.831908316,0.350639076,0.727998039,0.730555819,0.041130238,0.04681391,0.027777362,0.043938083,0.078623689,0.202349688,0.07602781,0.099217935,0.046747968,0.065242403,0.086155281,0.08229266,0.067665339,0.042650009,0.060450215,0.074232908,0.256284368,0.091667008,0.238187281,0.171419583,0.098859795,0.82531904,0.095676733,0.04481423,0.095604353,0.079047724,0.081877269,0.052445804,0.060930731,0.166508681,0.083272093,0.042659151,0.077648246,0.130299562,0.219473865,0.317846415,0.099833129,0.138880371,0.204298675,0.24687022,0.105546517,0.153185644,0.044353692,0.065965775,0.054502707,0.08709603,0.067574243,353
M-004,132.42202,0.060582526,6.7175,0.3589,4.6152,1.754705,0.074746756,4.587252,3.870411,7.00916046,1462.512974,28.64331,24.55654,-10.27994776,14.88181496,-1.684487904,144.2713,80.021,0.341759,237.3176,121.0677,76.0976,0.444727357,0.729848121,243.1358727,10.20353317,9.317847367,1.802917984,0.727777392,0.497327878,0.47446059,0.543303078,0.841489646,0.509504236,0.512716899,0.395489551,0.355378191,0.488300816,0.48346671,0.440678765,0.394006604,0.476155585,0.395886246,0.351439693,0.588080479,0.406865609,0.40821458,0.420005233,0.313362048,0.446282375,0.446984153,0.348303779,0.415341125,0.3180674,0.405327232,0.44883812,0.451643362,0.381790179,0.325120394,0.510080897,0.362535101,0.383080282,0.377355766,0.40530313,0.332781264,0.411904693,0.431752938,0.392177951,0.49628002,0.322917788,0.295445094,0.379327011,0.4574479,0.385353521,0.465185197,0.387922189,0.479528857,0.255087119,0.304741137,0.298248312,0.34422534,0.334657514,650
M-005,133.38284,0.063275242,6.0012,0.4285,3.7154,1.730197,0.073438102,4.570515,3.911924,6.87903772,1462.74048,27.98845,24.57396,-16.4109218,16.4109218,-1.475249343,142.4547,82.5914,0.342886,241.766,118.8782,74.5874,0.48084636,0.742870616,251.3761691,1.530995387,9.115716951,1.724812753,0.768639732,0.351222751,0.307843651,0.567486836,0.871280847,0.540582229,0.537959482,0.273443872,0.223712318,0.370000315,0.367033613,0.320033617,0.235624757,0.351520921,0.309407806,0.314081343,0.437631421,0.344373847,0.320002168,0.352563766,0.180580083,0.303402203,0.304157895,0.196617618,0.273574647,0.185082502,0.23938478,0.299281047,0.695360876,0.266242934,0.257300857,0.341011451,0.27063781,0.268039173,0.280901514,0.416856741,0.332789933,0.345004691,0.414695002,0.410576705,0.479294188,0.228160281,0.210921724,0.387465971,0.43146988,0.391409579,0.432662306,0.410057165,0.465375287,0.275340729,0.310932361,0.302350392,0.326252714,0.319737818,640
M-006,129.60526,0.042457954,7.8317,0.0612,5.9586,1.7865,0.074574716,4.705091,4.100797,7.49746274,1773.097848,28.55986,25.1981,-7.3747174,7.80055164,-1.733991145,194.2584,121.8258,0.325053,339.27,158.6601,111.5946,0.35206636,0.395035976,360.993678,18.1885119,10.84946104,1.594558788,0.481089726,0.703124166,0.706707869,0.3852829,0.286174157,0.365726217,0.427645528,0.612653135,0.592271138,0.674021162,0.690937623,0.682608207,0.596531101,0.706997593,0.813907043,0.722906615,0.746058909,0.870394004,0.787445115,0.804878809,0.56498674,0.664180198,0.680994489,0.64782836,0.672674602,0.703878485,0.628782695,0.698733274,0.179781787,0.79778923,0.712361943,0.710501536,0.794618109,0.76301486,0.785836686,0.764199742,0.155734223,0.705370439,0.736088028,0.756529705,0.861889003,0.694341481,0.757181383,0.774001665,0.845754443,0.753342655,0.820932427,0.766698768,0.852601076,0.663967325,0.762625925,0.732680476,0.785182069,0.7714683,135
M-007,127.95604,0.039469396,7.8262,0.0652,5.9784,1.788704,0.067966457,4.709586,4.152866,7.43823348,1776.70504,28.06296,24.90216,-7.2977928,7.52458448,-1.683054352,186.2828,120.1104,0.32413,332.4164,152.5654,106.0436,0.35515257,0.41276912,355.4245639,17.56498296,10.91179984,1.550929811,0.436795303,0.680787272,0.696194061,0.352232984,0.305938127,0.341432077,0.394713004,0.611499467,0.594119088,0.67464665,0.691257418,0.672111229,0.570319457,0.689500754,0.765849419,0.710337382,0.740363393,0.846188533,0.744539602,0.75813996,0.569173492,0.66833406,0.685086329,0.665715423,0.668381159,0.709609197,0.614632611,0.690109791,0.208498032,0.760700478,0.703844764,0.711013206,0.778639111,0.730297241,0.745506345,0.751188326,0.145819784,0.68232843,0.670175136,0.743217335,0.808618855,0.647956616,0.6556682,0.751636824,0.784429508,0.719659246,0.746343219,0.739691194,0.784867817,0.64385722,0.714932523,0.683009759,0.705895565,0.692261616,147
M-008,129.36924,0.044975905,7.6478,0.0706,5.7629,1.755163,0.079338692,4.624343,3.981501,7.4168619,1730.823594,28.58168,25.07615,-7.8464672,8.39940816,-1.751068059,196.965,120.1127,0.321703,336.9431,160.5662,113.7992,0.356498829,0.395299671,354.1596085,17.35303552,9.77913038,1.639834922,0.512000453,0.661075165,0.668184587,0.359512057,0.285451778,0.377539828,0.444015576,0.574518167,0.553062714,0.626144212,0.639953149,0.641117342,0.563585887,0.667319208,0.802533926,0.691245038,0.692084663,0.835423782,0.774547994,0.800993994,0.524352622,0.618815409,0.633742616,0.57992253,0.63234397,0.644155432,0.596640498,0.660487033,0.205388416,0.77882096,0.675751116,0.664284164,0.757392495,0.743297749,0.773944315,0.732485263,0.16915955,0.613469778,0.602323913,0.725138178,0.864348335,0.631309976,0.676507135,0.748781889,0.855173009,0.738990508,0.844042802,0.746876164,0.869083364,0.643883993,0.760590635,0.736942074,0.814606086,0.804046512,182
M-009,128.62056,0.038825213,7.9028,0.0196,6.0791,1.763119,0.078668778,4.643213,4.013937,7.49534886,1774.567671,28.59698,25.12409,-5.24465528,5.85993864,-1.674434124,203.2176,125.3861,0.319051,349.7237,165.3704,118.2872,0.328242937,0.342431258,368.2686956,19.46102228,10.02101334,1.620734675,0.431251289,0.70547438,0.720591728,0.330111394,0.198751216,0.322213778,0.386873603,0.627639879,0.613080936,0.669154635,0.68562612,0.693346159,0.611586958,0.715598898,0.877957473,0.755721166,0.73068694,0.916942049,0.844254599,0.869405989,0.590681667,0.670437872,0.687498718,0.646284108,0.691268233,0.726387066,0.650356968,0.716291192,0.196054422,0.863676648,0.751806722,0.711996507,0.843330859,0.821886895,0.856314812,0.780134176,0.137947404,0.660859723,0.638139157,0.772425774,0.912102345,0.692679685,0.740472103,0.803591446,0.909676026,0.786301269,0.889978243,0.794276416,0.915837104,0.706615852,0.829414382,0.804247731,0.881528382,0.872336654,180
M-010,128.88518,0.041326639,7.8075,0.0385,5.9613,1.759994,0.0789506,4.635755,4.001514,7.46551004,1758.177511,28.58845,25.10381,-6.24459636,6.836265,-1.710621965,200.8799,123.4191,0.320002,344.9519,163.5733,116.612,0.338966953,0.362543627,362.9984206,18.76190318,9.924824877,1.627624087,0.463821117,0.688760164,0.701024384,0.340569004,0.23153067,0.344904623,0.410896835,0.607583057,0.590409101,0.652940773,0.668409305,0.673647312,0.593499584,0.697403614,0.849481707,0.731370612,0.716162348,0.886159719,0.81793881,0.843571744,0.565556843,0.651073542,0.667337413,0.621359806,0.66912044,0.695368532,0.630239045,0.695379421,0.194090506,0.831630854,0.723033473,0.694207638,0.810845041,0.792216885,0.825171033,0.76222507,0.149831319,0.64261117,0.623654747,0.75465467,0.894135998,0.669272311,0.715708321,0.782961099,0.889145607,0.76854032,0.87271053,0.776474173,0.898255766,0.682901466,0.803431464,0.778813804,0.856263476,0.846537607,171
M-011,132.10435,0.059378745,6.4602,0.3078,4.3833,1.781326,0.091788544,4.616394,4.214798,7.03102604,1653.759089,27.98957,24.58977,-14.29521784,14.29521784,-1.711667263,160.7376,94.7456,0.335358,280.552,128.899,83.5198,0.451719194,0.625210371,285.1026568,9.240515033,9.678703981,1.696517833,0.710324029,0.438083419,0.428185919,0.495098044,0.669761009,0.547111606,0.573997409,0.350067772,0.31476096,0.464749068,0.449356846,0.406112772,0.318899491,0.432648446,0.448309696,0.417905386,0.506366819,0.502041862,0.425387966,0.450101097,0.276397306,0.421450436,0.415075211,0.376195132,0.383406854,0.368539499,0.349390546,0.411169227,0.480498833,0.414551311,0.375057494,0.450267388,0.425262246,0.389223197,0.396737718,0.537095686,0.352771626,0.440579973,0.476486025,0.516453554,0.572070715,0.339014916,0.316622688,0.497200316,0.526390937,0.496879664,0.520976852,0.512976572,0.552712869,0.379782398,0.424646618,0.403806272,0.42484267,0.412330207,605
M-012,128.00942,0.043267489,7.6659,0.1111,5.7772,1.796487,0.06264493,4.730638,4.200691,7.37319594,1756.21025,27.80833,24.7753,-9.08460256,9.08460256,-1.581035636,175.4269,115.0996,0.327745,318.1904,144.3189,98.2124,0.371407473,0.467065208,342.428394,14.0016958,11.20774642,1.524131274,0.484601743,0.647819502,0.659526806,0.376485691,0.391130043,0.383926929,0.432146058,0.578231325,0.556298208,0.65551382,0.670848506,0.636948013,0.528529886,0.654115311,0.680250526,0.658914053,0.72503916,0.77539044,0.667092965,0.676418877,0.527275849,0.641389212,0.656930545,0.640227689,0.629291515,0.661488817,0.572760258,0.651122552,0.307129722,0.675924077,0.646165905,0.686304227,0.709104834,0.653318085,0.658823645,0.713699268,0.154320134,0.668133713,0.666268795,0.7057866,0.736291985,0.597446822,0.585452028,0.701525189,0.701674476,0.666991145,0.659908367,0.691902237,0.70281098,0.586747384,0.633545054,0.600082794,0.601808304,0.587389842,198
M-013,127.35136,0.036151592,7.8852,0.0698,6.0476,1.805706,0.059550206,4.753034,4.239668,7.43995632,1795.002615,27.79394,24.8096,-7.27256464,7.27256464,-1.542744025,179.7782,119.3708,0.32588,328.2472,147.6792,101.3212,0.353026272,0.428907956,354.1529698,15.75219453,11.5298996,1.50604838,0.39309157,0.685348775,0.703686688,0.353590469,0.328000956,0.316089925,0.361291019,0.623917466,0.607706224,0.694835455,0.712591169,0.681519876,0.567303296,0.694770981,0.735344105,0.711456182,0.76117178,0.840404716,0.718456446,0.725273617,0.583915075,0.68772193,0.705153194,0.702736082,0.679345022,0.733231198,0.616485994,0.698007854,0.286304732,0.738324168,0.708013478,0.729414129,0.777608034,0.711634383,0.717877393,0.754472117,0.128090462,0.713461958,0.703222358,0.746227977,0.771559441,0.649300648,0.637921636,0.74570764,0.739681171,0.703272769,0.689920958,0.72958813,0.73464794,0.635274669,0.681871747,0.645842104,0.64278155,0.628058917,166
M-014,126.94672,0.032408251,8.0529,0.0526,6.2108,1.814224,0.05672577,4.764758,4.260563,7.48888519,1801.09448,27.86852,24.89486,-6.36952456,6.36952456,-1.513600917,176.4177,122.1098,0.323154,323.5225,149.1606,103.4245,0.35462573,0.425764609,360.8200388,16.29695197,11.70159566,1.44474645,0.345134878,0.715030207,0.730024288,0.329445637,0.321004828,0.279903924,0.319639418,0.659723345,0.642921224,0.726131056,0.743244072,0.715659544,0.601390973,0.729321369,0.737680888,0.748976668,0.781838023,0.84781831,0.750871561,0.76126819,0.619353202,0.717462154,0.734078145,0.740183603,0.711039353,0.766679541,0.645896956,0.729088293,0.278782704,0.745489279,0.747642069,0.749620904,0.788908345,0.744358723,0.756413979,0.782290081,0.118285446,0.743561525,0.739105984,0.771770474,0.794847554,0.687601269,0.688830487,0.775212967,0.766194548,0.729691034,0.713287778,0.756456598,0.758773812,0.66732425,0.709673999,0.676770595,0.666864438,0.656292857,197
M-015,126.83248,0.03308963,8.1669,0.0555,6.2781,1.822785,0.054268681,4.77946,4.269489,7.52899659,1782.862551,28.09427,24.9778,-6.28131592,6.28131592,-1.504994744,171.8388,121.7289,0.319444,313.7923,149.726,103.5046,0.355494739,0.438556373,357.7336766,16.02814024,11.91991031,1.411651629,0.353233376,0.737234235,0.74130613,0.303808187,0.340233757,0.287521591,0.323624175,0.684493863,0.661942149,0.749449379,0.766049114,0.740225439,0.633917711,0.75437885,0.724597618,0.758616199,0.785971766,0.829247165,0.769971396,0.774470278,0.634241878,0.73250738,0.748155877,0.755805149,0.726819317,0.767362279,0.665269237,0.743996512,0.273698681,0.731212308,0.753969428,0.748760591,0.77056996,0.757711198,0.76613099,0.783921635,0.115802327,0.771918421,0.778350995,0.771725863,0.798801856,0.719187007,0.733435248,0.777486041,0.772277935,0.73491836,0.722327106,0.756667029,0.762957771,0.66282374,0.710244411,0.675054795,0.670523355,0.657379557,199
M-016,126.69276,0.033826298,8.2935,0.0588,6.3525,1.832182,0.050936341,4.795429,4.279011,7.57309517,1762.206512,28.34444,25.06816,-6.1290534,6.1290534,-1.478649456,166.6881,121.2833,0.315258,302.8493,150.3402,103.5792,0.353773529,0.452681795,354.2452486,15.53592036,12.16087409,1.374369761,0.361918178,0.761667507,0.75362942,0.274760446,0.361350935,0.295779633,0.327549667,0.712410225,0.683294899,0.775460713,0.791407707,0.767652433,0.670401738,0.782260527,0.708729664,0.769063249,0.789590186,0.806992817,0.79121541,0.789027965,0.650888025,0.74921808,0.76373578,0.773038381,0.74436279,0.767506626,0.686915868,0.760508359,0.27958534,0.714345314,0.760730394,0.747186024,0.749033932,0.772491643,0.77677408,0.785443436,0.110567825,0.803083619,0.821187545,0.771384792,0.802978914,0.754107167,0.782513278,0.779718025,0.778844995,0.740442448,0.732217386,0.756608417,0.767396441,0.657576616,0.710613642,0.672908945,0.674406505,0.658392396,198
M-017,128.00942,0.043267489,7.6659,0.1111,5.7772,1.796487,0.06264493,4.730638,4.200691,7.37319594,1756.21025,27.80833,24.7753,-9.08460256,9.08460256,-1.581035636,175.4269,115.0996,0.327745,318.1904,144.3189,98.2124,0.371407473,0.467065208,342.428394,14.0016958,11.20774642,1.524131274,0.484601743,0.647819502,0.659526806,0.376485691,0.391130043,0.383926929,0.432146058,0.578231325,0.556298208,0.65551382,0.670848506,0.636948013,0.528529886,0.654115311,0.680250526,0.658914053,0.72503916,0.77539044,0.667092965,0.676418877,0.527275849,0.641389212,0.656930545,0.640227689,0.629291515,0.661488817,0.572760258,0.651122552,0.307129722,0.675924077,0.646165905,0.686304227,0.709104834,0.653318085,0.658823645,0.713699268,0.154320134,0.668133713,0.666268795,0.7057866,0.736291985,0.597446822,0.585452028,0.701525189,0.701674476,0.666991145,0.659908367,0.691902237,0.70281098,0.586747384,0.633545054,0.600082794,0.601808304,0.587389842,526
M-018,133.3618,0.063274307,6.003,0.428,3.718,1.73012,0.07344077,4.57029,3.91195,6.8790638,1463.017444,27.9854,24.5718,-16.405532,16.405532,-1.475703423,142.488,82.63,0.34283,241.852,118.903,74.614,0.480757291,0.742512437,251.4722218,1.545305963,9.113024759,1.724410021,0.768497184,0.351409362,0.308230801,0.566745064,0.870506234,0.540577436,0.538062668,0.273733333,0.224049516,0.370223786,0.367270044,0.320294366,0.235832525,0.351743788,0.309753224,0.314420545,0.43780904,0.344788775,0.320322698,0.352875596,0.180922439,0.303762602,0.30453447,0.197085556,0.273950081,0.185571201,0.239746184,0.299660257,0.69477378,0.266661069,0.257689895,0.341392308,0.271080171,0.268433503,0.281282763,0.417137539,0.332618326,0.344870467,0.413902241,0.410855689,0.479511885,0.228179095,0.210530981,0.38776568,0.431706641,0.391666319,0.432844841,0.410321196,0.465570074,0.27564976,0.311247622,0.302644252,0.326512978,0.31999802,506
M-019,132.6204,0.062629205,6.234,0.384,4.004,1.73936,0.073155993,4.59262,3.9521,6.9477764,1503.751632,27.9612,24.6004,-16.088688,16.088688,-1.519945736,147.064,87.14,0.34074,252.456,122.434,77.892,0.46915155,0.704531809,264.3570063,2.915106816,9.383461502,1.687675006,0.755528289,0.394352574,0.358933559,0.53990092,0.802236024,0.540555896,0.548327941,0.311601273,0.264003872,0.40875308,0.408356541,0.36224721,0.276736505,0.39347359,0.356262433,0.356513445,0.479627516,0.397982008,0.36403019,0.392839587,0.220043683,0.349264392,0.3521403,0.255400886,0.320769311,0.244374584,0.286263953,0.348143382,0.63108949,0.316643404,0.302962645,0.391378942,0.323150003,0.315742874,0.326154606,0.45714072,0.311523165,0.388952479,0.448906997,0.450729507,0.514249456,0.277995668,0.262393217,0.429205662,0.467428916,0.430132509,0.464573113,0.449171576,0.498307721,0.312750755,0.351329735,0.338654738,0.361030869,0.352773673,487
M-020,131.12044,0.069551546,7.3282,0.0299,5.4475,1.762234,0.084148076,4.712844,4.414609,7.3715164,1833.700143,28.75563,24.97618,-20.0758012,20.0758012,-1.677878744,162.3169,112.5048,0.30731,300.2498,136.4288,93.1157,0.377391851,0.465197268,324.8344858,5.505641224,10.95716966,1.442755331,0.83519474,0.614313058,0.623117503,0.292630394,0.405891353,0.682328941,0.761366257,0.510399079,0.490250597,0.583244075,0.611435781,0.584913221,0.512664787,0.604971344,0.562682644,0.607296003,0.560437143,0.671193703,0.572965326,0.601610458,0.461720141,0.574746932,0.600457738,0.630217411,0.578347783,0.645623512,0.549180589,0.60310054,0.306461695,0.566561592,0.589606747,0.564027214,0.614582315,0.564325542,0.580517109,0.674127642,0.224070451,0.655063201,0.692308047,0.680550266,0.682759551,0.596148324,0.625004304,0.679892891,0.65336232,0.67765916,0.641008583,0.67760923,0.660267504,0.558129823,0.573600602,0.55214371,0.525470138,0.523457103,487
M-021,131.57879,0.0531459,6.6243,0.2083,4.7912,1.820255,0.10350544,4.605789,4.513437,7.07606826,1857.891626,27.55148,24.59751,-11.14296684,11.14296684,-1.605757072,172.6131,109.1983,0.335381,313.2282,134.8629,93.2831,0.442430905,0.544157432,328.6042078,13.66186906,9.54606153,1.580730652,0.626976559,0.467926489,0.502233358,0.486346647,0.535439156,0.522344922,0.577453644,0.37883185,0.366505538,0.511109021,0.472988726,0.436310991,0.32985502,0.461776542,0.527824495,0.517144756,0.541245496,0.616517765,0.478971515,0.533252917,0.342688055,0.49957697,0.4775338,0.51975533,0.447788989,0.535650693,0.404209705,0.479509809,0.460225186,0.518166914,0.492221435,0.526574576,0.551670248,0.468967844,0.501995897,0.676492918,0.345265494,0.453065789,0.464897733,0.632341389,0.663651632,0.372332376,0.348566908,0.6164811,0.619657021,0.607433774,0.6030435,0.635116651,0.647950457,0.522608563,0.544054917,0.535381145,0.519071571,0.52550286,854
M-022,131.26465,0.054183397,6.666,0.2222,4.7773,1.797598,0.095804117,4.606206,4.359564,7.07502576,1788.704001,27.47503,24.63087,-11.8494816,11.8494816,-1.581035636,166.65,108.2114,0.337744,302.6364,133.32,92.4352,0.451163346,0.565972389,326.7962842,11.66396404,9.551248406,1.540041068,0.638675262,0.473490687,0.49743352,0.496694359,0.568338234,0.513640562,0.565822252,0.386256151,0.368125859,0.504778731,0.479688078,0.442302594,0.333996628,0.470672911,0.503183654,0.515338878,0.560040453,0.591422771,0.474854021,0.531383452,0.340332054,0.488151212,0.47541931,0.483394938,0.445631527,0.499616219,0.399807978,0.478270689,0.475149581,0.492033594,0.485453282,0.53026833,0.526036469,0.459882706,0.495033891,0.656750884,0.330443873,0.452891854,0.473335486,0.624386494,0.655618502,0.37155884,0.35434868,0.608535998,0.611852173,0.596441996,0.592298905,0.628031226,0.64092129,0.512211753,0.529804133,0.524741955,0.505729209,0.515178698,621
M-023,130.91894,0.055225798,6.7143,0.2381,4.7619,1.771897,0.083206614,4.607143,4.184233,7.0745425,1709.850821,27.39045,24.67144,-12.65330068,12.65330068,-1.511693766,159.8551,107.0949,0.340477,290.5678,131.5709,91.4759,0.458064029,0.590575038,324.7647163,8.83777636,9.562911895,1.492649043,0.650202326,0.480081704,0.492146408,0.508871836,0.605302357,0.501402483,0.549918847,0.394913755,0.370051802,0.497554151,0.487554066,0.449341372,0.338914802,0.481094496,0.474741519,0.513314703,0.581948866,0.562458844,0.470168142,0.529286736,0.337729801,0.475311338,0.473153283,0.442285216,0.443308734,0.45886125,0.394949207,0.477007197,0.512831777,0.462485247,0.477870091,0.534623168,0.497055393,0.449680606,0.487233049,0.634632694,0.294583495,0.453305526,0.484144719,0.615473276,0.646616591,0.371200299,0.361909427,0.599633792,0.603106163,0.584126541,0.58025968,0.620092007,0.63304391,0.500563426,0.513838068,0.512822077,0.49078111,0.503611774,549
M-024,130.65,0.055915088,6.75,0.25,4.75,1.7525,0.069696054,4.6075,4.0525,7.07365,1650.61825,27.325,24.7,-13.25,13.25,-1.386294361,154.75,106.25,0.3425,281.5,130.25,90.75,0.460675042,0.608875531,323.1939163,5.775594529,9.567358843,1.456470588,0.65756504,0.484769615,0.488059097,0.517598611,0.632575353,0.490728391,0.536293942,0.401353026,0.371408046,0.491851936,0.493292176,0.454468182,0.342387634,0.488746726,0.452976745,0.511638413,0.5982619,0.540289662,0.466441263,0.527553128,0.335724724,0.465624118,0.471342156,0.41149897,0.441462586,0.428353249,0.391202607,0.475935103,0.578050674,0.440358492,0.472128003,0.537720863,0.475351185,0.441976613,0.481326572,0.618097918,0.247287897,0.453156458,0.491371668,0.60865971,0.639736016,0.370538199,0.366856397,0.592835273,0.596427659,0.574798272,0.571141294,0.613985445,0.626985873,0.491828974,0.501892904,0.503884493,0.479598166,0.494939313,472
M-025,149.1,0.049518606,4.32,0.08,2.44,1.4788,0.078332775,4.1964,6.398,6.851976,2393.67784,37.016,25.12,-4.6336,6.9376,-1.744040246,134.6,44.04,0.3452,198,104.84,40.4,0.30964199,0.397903101,134.5143555,30.07669778,5.46086286,3.056312443,0.665193524,0.094814855,0.117898309,0.857182456,0.38549256,0.705615199,0.703855784,0.040991326,0.045913491,0.033389873,0.047261143,0.077103893,0.183439036,0.07385213,0.102432424,0.041747287,0.079605925,0.084661276,0.089884943,0.06285455,0.041514548,0.062114188,0.074326689,0.245689624,0.089024257,0.226127781,0.158966328,0.095565814,0.82562974,0.096302125,0.040763286,0.100405774,0.076993584,0.085392424,0.048440897,0.055429739,0.167792899,0.092536006,0.059411813,0.069998109,0.123274199,0.208676533,0.295470046,0.089209458,0.12897643,0.180204726,0.223565854,0.093485494,0.141827683,0.038787091,0.063909273,0.048773067,0.085786633,0.062003764,500
M-026,146.51,0.04977024,4.3,0.2,2.4,1.582,0.137556471,4.277,5.904,6.70554,2167.1946,33.9,24.81,-10.2,11,-1.748067349,138.4,46.4,0.351,209.1,105.2,41.7,0.410480942,0.660636809,142.9892142,21.29866942,6.121184946,2.982758621,0.656246429,0.07165952,0.100340489,0.85494389,0.843223878,0.650891975,0.635713775,0.038681804,0.042574108,0.068289539,0.056292082,0.061159827,0.091838173,0.060769464,0.112763512,0.050011262,0.091005333,0.10374964,0.089400156,0.06792764,0.038085116,0.07824465,0.075198825,0.179993984,0.075964668,0.161481278,0.106258806,0.08369425,0.832016962,0.09946315,0.045001028,0.100468201,0.085725681,0.082120572,0.050399052,0.093901356,0.58903853,0.085579785,0.095382481,0.09411443,0.141590269,0.104578504,0.137247934,0.099707151,0.132562759,0.162468072,0.194674817,0.108879857,0.149630622,0.049129475,0.076453643,0.057782952,0.093642664,0.069001249,591
M-027,139.9823,0.039928641,4.6834,0.1578,2.947,1.712823,0.135886134,4.365449,5.702717,6.71806904,2204.518539,30.71509,24.59511,-11.1175154,11.8264794,-1.603429185,166.3414,53.2547,0.361506,264.1697,120.3479,43.9921,0.364057632,0.738760778,166.8134704,18.27249077,6.921074327,3.12350647,0.489561255,0.113644007,0.18813512,0.813488296,0.924152678,0.493362183,0.509017228,0.084821803,0.095235629,0.171023837,0.126917645,0.115842825,0.079406193,0.121398066,0.251987428,0.094503126,0.207159202,0.251189424,0.187697799,0.096276902,0.089895204,0.185270787,0.163836529,0.300140686,0.153313825,0.292476666,0.160133137,0.171521208,0.775693089,0.233187471,0.094499554,0.224741197,0.214779776,0.182533544,0.088891271,0.176673014,0.656152202,0.146443431,0.160051688,0.154262969,0.170040513,0.113397144,0.10611572,0.151917421,0.152946169,0.181921299,0.172637037,0.163265512,0.168382964,0.082229956,0.14901523,0.081392693,0.140762905,0.081878697,517
M-028,139.83046,0.040740277,4.7773,0.1111,3.1108,1.718717,0.138372434,4.370674,5.831639,6.7594351,2275.26945,30.85247,24.61976,-8.98585688,9.77582232,-1.581035636,170.9829,54.8834,0.361075,273.0838,122.9877,44.6622,0.344225013,0.725100065,171.799194,20.92374499,6.970926235,3.115384615,0.500078964,0.134011243,0.22050718,0.807670448,0.899442766,0.516895395,0.538852624,0.096722533,0.111255669,0.186948497,0.141870313,0.133070595,0.102343158,0.138699356,0.280595713,0.105900873,0.227312564,0.280578991,0.208820444,0.104055351,0.10747224,0.210844293,0.188766373,0.360988889,0.178974744,0.351246618,0.192246362,0.199390058,0.755182679,0.268457524,0.10947421,0.256999114,0.247898762,0.209974094,0.100987113,0.191140485,0.655774846,0.166728345,0.172212424,0.167337692,0.176602647,0.142629792,0.138655658,0.166710012,0.161075077,0.199763616,0.182071663,0.177463869,0.175336794,0.090764256,0.165205483,0.087668501,0.15107176,0.085773585,487
