No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,R dR,R VE,R DE,R v,R dG,dR Ec,dR Tm,VE^2,VE DE,VE Xp,VE Fw,VE I1,VE Ss,VE Cp,VE B,VE G,VE v,VE c11,VE c12,VE c44,DE^2,DE Xp,DE Fw,DE Ec,DE I1,DE Tm,DE Ss,DE Cp,DE Sc,DE B,DE G,DE v,DE c11,DE c12,DE c44,Xp G,dXp dG,Fw I1,Fw Cp,Fw G,Fw c44,I1^2,I1 Cp,I1 G,I1 c44,Ss G,Ss c44,Cp G,Cp c44,G^2,G c12,G c44,c12 c44,c44^2,HV
M-076,128.12,0.035850862,9,0,7.2,1.814,0.074337411,4.68,3.904,7.71674,1636.754,30.48,25.34,1.76,6.88,-1.609437912,182.8,111.8,0.308,290.8,164.8,115.2,0.34109357,0.45557153,323.1213873,23.66250439,10.50691257,1.635062612,0.392039887,0.929528669,0.923222739,0.250513295,0.373768691,0.284391928,0.321611038,0.876084263,0.866530551,0.870743226,0.872178713,0.90579977,0.924654572,0.925940446,0.907639634,0.769363723,0.889077622,0.85301044,1,0.977614853,0.854346575,0.870872798,0.873947073,0.815257219,0.899953296,0.827188664,0.918700526,0.918016428,0.04631274,0.932024418,0.798203563,0.866980659,0.828289754,1,1,0.695251108,0.186822211,0.784114312,0.737727317,0.668188251,0.891126382,0.86926867,0.939126026,0.717289171,0.912703421,0.731130617,0.935403403,0.685519764,0.894997788,0.550469404,0.719679472,0.691253122,0.851608672,0.825077786,208
M-077,128.3168,0.041069175,8.96984,0.01192,7.2164,1.8147976,0.074339847,4.6782632,3.8992904,7.714209204,1629.943741,30.638032,25.34888,1.772119104,6.935130048,-1.63629445,181.92968,111.25436,0.3077612,289.40684,163.97808,114.66376,0.347143894,0.460733068,321.4334706,23.94745514,10.48353887,1.635258879,0.45828697,0.926086554,0.928298874,0.252027515,0.382956522,0.332451944,0.374371998,0.868823867,0.865471164,0.866736107,0.866789842,0.900487862,0.927882473,0.921060625,0.897556922,0.761992392,0.881852639,0.843735794,0.989096848,0.968826144,0.858534679,0.873910641,0.876136225,0.816626223,0.902214179,0.824933413,0.928350649,0.921272538,0.022909055,0.929246966,0.795918722,0.868835585,0.825824766,0.996827413,0.997421534,0.691063726,0.189537227,0.781742676,0.737600302,0.663332899,0.885498913,0.86722098,0.939246174,0.712259652,0.907034026,0.731425266,0.936030526,0.681117865,0.890026234,0.544571944,0.71106582,0.684161811,0.842126812,0.816996412,192
M-078,125.9,0.010447138,9.5,0,7.75,1.88,0.016394718,4.825,4.15,7.787425,1666.1925,30.1,25.1,5,6.5,-1.386294361,158.5,107,0.31,265.25,150.25,100.5,0.275533586,0.522654726,310.1449275,24.2051087,12.61780775,1.481308411,0.071118238,1,1,0.228690431,0.464605022,0.054305124,0.058029229,1,1,1,1,1,1,1,0.802080557,0.778548692,0.998419909,0.810566415,0.950686589,0.890570298,1,1,1,1,1,0.941288368,1,1,0.136033545,0.857749631,0.824580855,0.970040689,0.810530526,0.97826119,0.934166157,0.687605532,0.008341897,0.921287495,0.867253267,0.655905022,0.778476299,0.926731917,0.936987223,0.684285758,0.776567455,0.673181529,0.763700037,0.63501164,0.738132964,0.499578915,0.608169219,0.568207633,0.649899625,0.617192879,154
M-079,125.18748,0.004704046,8.9991,0,6.9993,1.873146,0.017615924,4.882845,4.369563,7.80698589,1768.8231,29.06376,25.3308,-1.33306668,1.33306668,-1.098602422,162.9837,125.6541,0.29997,293.6373,157.9842,107.9892,0.304423489,0.419303749,358.9963287,14.82394694,13.5530684,1.297082228,0,0.886059569,0.856567502,0.154096226,0.301970549,0,0,0.875867254,0.839116767,0.915454625,0.934798608,0.922543882,0.841908595,0.925187749,0.772525995,0.880451736,0.843229723,0.864031463,0.945687331,0.908664118,0.803865205,0.875143167,0.890326778,0.928056289,0.880806448,0.887445343,0.824393227,0.883055247,0.460656199,0.783628674,0.879138891,0.801198384,0.810329041,0.92061987,0.904186868,0.846579213,0,0.972584907,1,0.827849888,0.866525552,0.94272647,1,0.849683527,0.85394036,0.806856022,0.803787035,0.805490575,0.822337323,0.709875916,0.787439964,0.731186255,0.751691077,0.719563296,124
M-080,127.452768,0.03259481,8.47172,0.0566,6.79248,1.8232084,0.056867864,4.732832,4.09755,7.492824896,1712.231775,28.809436,24.728304,0.156830816,9.811209056,-1.735851681,173.18904,106.45316,0.3284904,300.2272,143.755,96.90592,0.339247237,0.500728138,317.0562565,24.86902479,11.23897053,1.626903701,0.34906843,0.80925699,0.841425178,0.372068344,0.440375468,0.26914214,0.303287239,0.752436984,0.756790512,0.796568971,0.802559607,0.78157801,0.728649403,0.793583175,0.772906325,0.676302483,0.89595335,0.820843593,0.765603053,0.74863603,0.753337488,0.812974888,0.821165803,0.802666364,0.802544522,0.811582995,0.778866595,0.819710205,0.024760227,0.813759336,0.709288482,0.874596997,0.802880496,0.793537034,0.777092613,0.654732601,0.148789266,0.722849611,0.657617578,0.633897948,0.723893646,0.69069612,0.657228427,0.64440498,0.704183613,0.625497758,0.681336442,0.616739029,0.688207858,0.493922895,0.571429145,0.542881595,0.589181093,0.570676769,179
M-081,124.43724,0.02168135,8.61531,0.15384,6.46149,1.8753658,0.01732472,4.8807205,4.3899555,7.834143941,1762.67487,28.276664,24.92284,-11.83379432,11.83379432,-1.285286972,156.84477,120.69125,0.292305,282.15137,149.92182,105.46056,0.332946193,0.44307207,341.0826698,7.003063338,13.51772565,1.299553779,0.206487587,0.79666372,0.752525532,0.094539502,0.334264754,0.177735604,0.190932514,0.785305153,0.728414087,0.856491086,0.869734726,0.865101647,0.725713011,0.830839087,0.685141475,0.79931968,0.728728858,0.771729649,0.830769055,0.841584971,0.675627351,0.790177483,0.800339415,0.826963029,0.796811052,0.78723398,0.702514063,0.772681294,0.395247624,0.675902608,0.770930708,0.683671944,0.702046704,0.78593656,0.807299275,0.804623197,0.002043764,0.983480433,0.894736473,0.784562093,0.840409106,0.9649996,0.931071568,0.809973411,0.832332986,0.732705748,0.74852392,0.745506292,0.779988051,0.650634751,0.703988079,0.68250201,0.68680144,0.684176752,149
M-082,123.784434,0.028330929,8.28561,0.28572,5.99991,1.8771242,0.017017326,4.8785225,4.4070999,7.856822905,1757.26779,27.59968,24.57116,-19.42863428,19.42863428,-1.351783447,151.56957,116.42713,0.285711,272.28235,142.99812,103.28454,0.354921811,0.461868485,325.9944644,0.322007417,13.48124104,1.301840645,0.285688167,0.720508345,0.664081232,0.043662613,0.35915924,0.248417474,0.264809954,0.710657866,0.638353211,0.805619303,0.813779249,0.815296696,0.628975173,0.751498113,0.612911686,0.732329389,0.633286143,0.695499979,0.736429782,0.785570925,0.573737567,0.717016715,0.723092492,0.739303939,0.724156079,0.701680927,0.601830818,0.680264399,0.41589727,0.587868447,0.682652023,0.586416747,0.613676831,0.677114774,0.726923255,0.768411926,0.003339595,0.99225778,0.803602503,0.747321965,0.817873137,0.98365856,0.870668734,0.775527661,0.813506509,0.670903887,0.702105341,0.695030029,0.744172721,0.601640773,0.635340939,0.641809573,0.632732601,0.654396069,287
M-083,123.221252,0.032420291,8.00009,0.4,5.60007,1.8786854,0.016704832,4.8767155,4.4220437,7.876631411,1752.61769,27.013624,24.26692,-24.96032267,24.96032267,-1.379295472,147.00163,112.73459,0.280003,263.73627,137.00158,101.40108,0.372200289,0.476868481,313.1529437,-4.861036249,13.45130814,1.303962076,0.333459585,0.655156414,0.588187878,0,0.378564485,0.292494894,0.309740777,0.648366523,0.564066304,0.761511334,0.76538864,0.771942411,0.547547942,0.684142374,0.552490507,0.676343059,0.552865384,0.631779878,0.657986184,0.738300956,0.491577592,0.653547725,0.656252388,0.662810552,0.660885034,0.627998375,0.517599111,0.602005639,0.456967845,0.514947959,0.609644038,0.504925255,0.540569766,0.587931448,0.659423159,0.737018429,0.004089163,1,0.724944327,0.715119629,0.798403229,1,0.818186225,0.745545602,0.797132374,0.61883832,0.662764341,0.652162183,0.713667709,0.5606378,0.578156308,0.607445243,0.587176775,0.6291206,570
M-084,126.8,0.022222402,8,0,6,1.8125,0.060233395,4.7375,4.605,7.542875,1874.25,29.025,25.225,-10.5,10.5,-1.386294361,167,101.75,0.33,289.25,151.25,85,0.260633859,0.605694712,303.7313433,11.10325111,11.30564483,1.641277641,0.218219753,0.702091754,0.690179441,0.370905828,0.599005393,0.194774281,0.212858226,0.648347232,0.612447066,0.716882165,0.727079632,0.716403111,0.65177844,0.738760091,0.673585374,0.597970428,0.805648825,0.720783072,0.758666837,0.59909569,0.573756698,0.683855677,0.694263488,0.793436452,0.684843609,0.772672136,0.652157798,0.706910597,0.39387687,0.666214004,0.587033198,0.734546569,0.661176454,0.725779983,0.584100408,0.60982009,0.205286297,0.748413821,0.784684528,0.595391471,0.607652707,0.730154854,0.794206006,0.61065108,0.595417047,0.590299539,0.566685357,0.594191422,0.588463583,0.446474106,0.575538,0.446383997,0.533392775,0.428684313,238
M-085,137.259,0.035708899,5.454,0,3.9087,1.832544,0.181126571,4.40865,7.04475,7.16225643,2883.7116,32.724,24.543,-4.82548104,4.957686,-1.767684691,225.8865,81.3555,0.364509,364.5999,156.8025,71.9928,0.22223431,0.620986747,256.039818,37.55762325,7.342327143,2.776536313,0.422209562,0.266193828,0.366850683,0.784575349,0.70205429,0.550186024,0.604499222,0.189472065,0.208908799,0.337259485,0.250686241,0.273877696,0.303729832,0.2544685,0.594849409,0.267768937,0.393581409,0.578842685,0.445252472,0.294252747,0.206685899,0.366245261,0.312707398,0.789144046,0.324448291,0.775307672,0.380110185,0.330705479,0.543567168,0.565462721,0.269391794,0.425063446,0.516393266,0.436283527,0.286469016,0.44561428,0.741450111,0.357701511,0.202919799,0.377314754,0.43044815,0.436678305,0.396100677,0.403744948,0.43472355,0.500099644,0.527406856,0.398780431,0.439276438,0.265522467,0.450489555,0.284797164,0.451999641,0.294803287,676
